AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
725,107742044,12,评论,2024-05-04,0,华语 流行 90后 ,100,王心凌 蔡依林 孙燕姿 梁静茹 林俊杰,9989364471,https://music.163.com/playlist?id=9989364471
13518,122163934,199,评论,2023-04-28,1,华语 流行 综艺 ,74,音乐现场 | 天赐的声音Live精选合辑,8383218468,https://music.163.com/playlist?id=8383218468
122185,342371680,1477,3,2023-10-05,16,欧美 流行 R&B/Soul ,80,心动R&B：浪漫鼓点 带点可爱甜蜜的味道,8782566006,https://music.163.com/playlist?id=8782566006
10232374,1912829165,112424,778,2022-03-14,1705,伤感 浪漫 流行 ,101,真是失礼 我们可是纯爱.,7333983296,https://music.163.com/playlist?id=7333983296
79752,1422249514,1837,35,2023-10-21,16,流行 华语 放松 ,138,INTJ｜Chill° 清醒 独立 自由 孤独 沉浸式,8811516036,https://music.163.com/playlist?id=8811516036
3992,8415585269,29,1,2024-04-07,0,华语 怀旧 90后 ,128,90后青春回忆杀 | 是经典 是过往 是老歌,9698016105,https://music.163.com/playlist?id=9698016105
420397,7883271025,2703,14,2022-11-04,41,R&B/Soul ,94,R&B：微醺夜晚恰好吹来的风,7726252606,https://music.163.com/playlist?id=7726252606
403131,1289346856,11214,72,2023-09-08,152,孤独 另类/独立 放松 ,140,另类独立曲风：肆意疯长 在破碎中走向新生,8719264025,https://music.163.com/playlist?id=8719264025
2023,107742044,22,评论,2024-04-26,0,华语 流行 驾车 ,100,陈楚生，王赫野，汪苏泷，薛之谦，周深,9917198051,https://music.163.com/playlist?id=9917198051
14014,8376551360,84,评论,2024-04-18,1,欧美 流行 快乐 ,132,夏日超火多巴胺｜多巴胺女孩快乐氛围曲,9829277462,https://music.163.com/playlist?id=9829277462
9461,8376551360,56,1,2024-04-17,2,欧美 流行 快乐 ,133,夏日多巴胺女孩 | 快乐心情氛围曲,9818629320,https://music.163.com/playlist?id=9818629320
436269,1,3360,18,2024-04-26,20,华语 流行 综艺 ,34,天赐的声音5 | 实力唱将天作之合,9912420454,https://music.163.com/playlist?id=9912420454
1355102,1422249514,21336,63,2023-08-05,229,孤独 夜晚 流行 ,69,逃脱不掉的宿命感 一听就忍不住落泪,8627322648,https://music.163.com/playlist?id=8627322648
374735,1289346856,4524,21,2023-09-06,57,放松 驾车 兴奋 ,95,驾车放松｜落日余晖 沙滩公路 敞篷跑车,8716261797,https://music.163.com/playlist?id=8716261797
1115714,1389009250,16924,30,2023-05-26,190,R&B/Soul 华语 夜晚 ,72,R＆B｜依加 陶喆 方大同 余佳运 郭顶,8437419066,https://music.163.com/playlist?id=8437419066
710671,2026151407,19275,70,2021-01-15,146,欧美 流行 日语 ,209,空灵/病娇/涩气/疯批美人/斯文败类,5465808317,https://music.163.com/playlist?id=5465808317
3775889,3223389037,19959,59,2022-10-14,325,华语 流行 综艺 ,299,天赐的声音第五季第5期丨不负热爱 纷繁热烈,7687715469,https://music.163.com/playlist?id=7687715469
369859,1289346856,8980,37,2021-10-17,142,欧美 放松 治愈 ,70,北欧氛围：如梦似幻的静谧之旅 空灵天籁,7024198754,https://music.163.com/playlist?id=7024198754
